アニス,-,エキゾチックな香味,甘い香り,セリ科,種子
オールスパイス,ピメント,-,ナツメグ，シナモン，クローブの香り,フトモモ科,未熟な実
ガーリック,にんにく,辛味,香ばしい香り,ヒガンバナ科,地下茎
カルダモン,-,ピリッとした辛味と苦味,清涼感のある香り,ショウガ科,未熟な実
キャラウェイ,-,ほのかな甘味と苦味,さわやかな香り,セリ科,種子
グリーンペパー,-,ピリッとした辛み,ピリッとした辛い香り,コショウ科,未熟な実
コリアンダー,香菜，パクチー,-,柑橘系の香り,セリ科,種子
シナモン,カシア,ほのかな辛味,甘い香り,クスノキ科,樹皮
スターアニス,八角茴香,-,甘い香り,シキミ科,未熟な実
セージ,-,ほのかな苦味,甘い香り,シソ科,葉
ターメリック,秋ウコン,ほのかな苦味,土臭い香り,ショウガ科,地下茎
タラゴン,-,-,甘い香り,キク科,若葉
ディルシード,-,ピリッとした辛味,強い香り,セリ科,実
ナツメグ,メース(皮の部分),ほのかな苦味,甘い香り,ニクズク科,種子
パセリ,イタリアンパセリ,-,さわやかな香り,セリ科,葉
ハバネロペパー,ハバネロ,強い辛味,フルーティな香り,ナス科,実
ハラペーニョペパー,グリーンチリ，青唐辛子,強い辛味,-,ナス科,実
ピンクペパー,-,-,ほのかな香味,ウルシ科,実
フェヌグリーク,-,ほのかな甘味と苦味,甘い香り,マメ科,種子
ブラックペパー,コショウ,ピリッとした辛味,ピリッとした辛い香り,コショウ科,実
ホースラディッシュ,西洋わさび,辛味,辛い香り,アブラナ科,根
ホワイトペパー,コショウ,ピリッとした辛味,ピリッとした辛い香り,コショウ科,実
マジョラム,-,ほのかな甘味と苦味,甘い香り,シソ科,葉
メース,ナツメグ(内側の部分),ほのかな苦味,甘い香り,ニクズク科,種子
ローズマリー,-,ほのかな苦味,甘い香り,シソ科,葉
ロングペパー,ヒハツ,ピリッとした辛味,ピリッとした辛い香り,コショウ科,実
オレガノ,ワイルドマジョラム,ほのかな甘味と苦味,強い香り,シソ科,葉
カイエンペパー,-,強い辛味,フルーティな香り,ナス科,実
クミン,-,-,カレーの香り,セリ科,種子
クローブ,チョウジ，丁子,-,甘い香り,フトモモ科,つぼみ
サフラン,-,-,独特な香り,アヤメ科,花
ジンジャー,生姜,-,-,ショウガ科,地下茎
ミント,-,-,さわやかな香り,シソ科,葉
セボリー,セイボリー,ほのかな辛味,-,シソ科,葉
タイム,-,ほのかな苦味,さわやかな香り,シソ科,葉
バジル,-,-,さわやかな香り,シソ科,葉
バニラビーンズ,-,-,甘い香り,ラン科,さや
パプリカ,-,-,甘酸っぱい香り,ナス科,実
フェンエル,茴香，ウイキョウ,-,甘い香り,セリ科,実
ホアジャオ,花椒,痺れるような辛味,-,ミカン科,実
ポピー,-,-,香ばしい香り,ケシ科,種子
マーガオ,馬告,ほのかな辛味，渋味,柑橘系の香り,クスノキ科,果
マスタード,からし,辛味,-,アブラナ科,種子
レモングラス,-,-,柑橘系の香り,イネ科,茎
ローリエ,月桂樹,-,さわやかな香り,クスノキ科,葉
くちなし,-,-,-,アカネ科,種子
